symbol,name,asset_type,exchange,source,is_etf
AMPX,"Amprius Technologies, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
BKE,BUCKLE INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
FRPT,"Freshpet, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
CARG,"CarGurus, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
PTY,PIMCO CORPORATE & INCOME OPPORTUNITY FUND,stock,NYSE,sec-company-tickers+nasdaq-trader,false
FRSH,Freshworks Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
PTON,"PELOTON INTERACTIVE, INC.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
DFTX,"Definium Therapeutics, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
SPGNY,Springer Nature AG & Co. KGaA/ADR,stock,OTC,sec-company-tickers,false
SAH,SONIC AUTOMOTIVE INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
XXI,"Twenty One Capital, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
IMNM,Immunome Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
RLX,RLX Technology Inc.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
MLYS,"Mineralys Therapeutics, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
EBOSY,EBOS Group Limited/ADR,stock,OTC,sec-company-tickers,false
TALO,TALOS ENERGY INC.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
VERA,"Vera Therapeutics, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
NIQ,NIQ Global Intelligence plc,stock,NYSE,sec-company-tickers+nasdaq-trader,false
FBNC,FIRST BANCORP /NC/,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
WRD,WeRide Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
HTFL,"Heartflow, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
HOG,"HARLEY-DAVIDSON, INC.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
GRDN,"Guardian Pharmacy Services, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
WERN,WERNER ENTERPRISES INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ANDE,"Andersons, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
BBT,Beacon Financial Corp,stock,NYSE,sec-company-tickers+nasdaq-trader,false
TMDX,"TransMedics Group, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
AMBP,Ardagh Metal Packaging S.A.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
CENT,CENTRAL GARDEN & PET CO,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
